what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419172153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1318419172199
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1318419178893
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318419178893
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318419182218
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318419186001
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1318419186308
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1318419186554
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318419186679
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318419200091
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318419269731
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1318419284538
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1318419284570
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1318419284601
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1318419284694
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1318419284694
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1318419284835
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1318419284835
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1318419285420
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1318419286435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318419307114
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318419312826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419330747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419355891
started,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1318419356488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419356566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419390644
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.Commit",1318419390660
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1318419423287
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318419423599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419547967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419554122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419557983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419603960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1318419603983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419612348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419616833
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1318419616845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318419616845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419622788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419630792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419632797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419690314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1318419690345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419696653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419712298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419713493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419783518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1318419783549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419799488
error,log,,,"Internal Error",1318419802849
error,log,,,"Problems encountered while deleting resources.",1318419802851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318419806823
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1318419806838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318419806838
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1318419814357
error,log,,,"Failed to update action org.eclipse.egit.ui.team.PullCurrentBranchAction",1318419814357
